UNIQUE IDENTIFICATION,CODE,COMBINATION,INDIVIDUAL OFFER,QUANTITY,AQUISTION,REACTIVATION,RETENTION,TOTAL REDEMPTIONS,SALES,MARGIN,TICKET,MARGIN %,MARKDOWN
4532,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"1,383",0,0,3,3,$80.60,$20.33,$26.87,25.2%,$10.30
4525,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"1,714",0,0,3,3,$161.85,$32.05,$53.95,19.8%,$27.75
9022,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"2,006",0,0,3,3,$190.13,$42.06,$63.38,22.1%,$38.69
9022,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"2,006",0,0,1,1,$10.50,$10.50,$10.50,100.0%,$3.50
9022,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"2,006",1,7,53,61,"$3,209.84",$851.95,$52.62,26.5%,$536.65
4546,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"2,319",0,0,2,2,$113.33,$41.43,$56.67,36.6%,$12.59
4546,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"2,319",0,0,1,1,$61.98,$15.08,$61.98,24.3%,$8.00
4366,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"2,568",0,0,2,2,$155.78,$52.53,$77.89,33.7%,$28.62
4359,8956S,SN 10% OFF / SL $8 off $40,SN 10% OFF,"2,600",10,9,52,71,"$3,216.46","$1,033.12",$45.30,32.1%,$359.78
4359,8962Y,SN 10% OFF / SL $8 off $40,SL $8 off $40,"2,600",1,1,14,16,$886.72,$246.94,$55.42,27.8%,$128.00
4193,8961H,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,25% PETWASH OR GROOMING ADD ON,"2,610",0,0,1,1,$49.50,$49.50,$49.50,100.0%,$2.50
4193,8956Z,10% OFF FOOD & LITTER / 25% OFF HARDGOODS/ 25% PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER / 25% OFF HARDGOODS,"2,610",1,0,10,11,$768.34,$112.06,$69.85,14.6%,$120.57
8055,8960S,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF FULL SERVICE GROOM,"3,076",1,0,9,10,$833.00,$833.00,$83.30,100.0%,$211.00
8055,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"3,076",0,2,4,6,$255.92,$77.80,$42.65,30.4%,$49.99
4131,8956T,25% OFF TOYS AND TREATS / 25% OFF FULL SERVICE GROOM,25% OFF TOYS AND TREATS,"3,112",0,0,5,5,$181.20,$61.54,$36.24,34.0%,$35.73
4562,8948G,10% OFF PURCHASE,10% OFF PURCHASE,"3,233",0,3,8,11,$897.80,$329.45,$81.62,36.7%,$99.45
199,8959T,10% OFF FOOD & LITTER / 25% OFF PETWASH OR GROOMING ADD ON,10% OFF FOOD & LITTER,"3,344",0,2,22,24,"$1,062.67",$289.96,$44.28,27.3%,$181.91
